text,label
"stomach_pain,ulcers_on_tongue,vomiting,cough,chest_pain",412
"acidity,indigestion,headache,blurred_and_distorted_vision,excessive_hunger,stiff_neck,depression,irritability,visual_disturbances",630
"itching,fatigue,lethargy,yellowish_skin,dark_urine,loss_of_appetite,abdominal_pain,yellow_urine,yellowing_of_eyes,malaise,receiving_blood_transfusion,receiving_unsterile_injections",465
"itching,skin_rash,stomach_pain,burning_micturition,spotting__urination",308
"itching,skin_rash,fatigue,lethargy,high_fever,headache,loss_of_appetite,mild_fever,malaise,red_spots_over_body",193
I've been having a hard time eating and swallowing. My nose is running and my throat hurts.,35
"vomiting,headache,altered_sensorium",718
"skin_rash,pus_filled_pimples,blackheads,scurring",7
"burning_micturition,bladder_discomfort,continuous_feel_of_urine",1035
"joint_pain,vomiting,fatigue,yellowish_skin,dark_urine,nausea,loss_of_appetite,abdominal_pain,yellowing_of_eyes",467
"continuous_sneezing,shivering,chills,watering_from_eyes",35
"joint_pain,vomiting,fatigue,high_fever,yellowish_skin,dark_urine,nausea,loss_of_appetite,abdominal_pain,yellowing_of_eyes,coma,stomach_bleeding",468
"vomiting,fatigue,anxiety,sweating,headache,nausea,blurred_and_distorted_vision,excessive_hunger,drying_and_tingling_lips,slurred_speech,irritability,palpitations",504
"skin_rash,chills,joint_pain,vomiting,fatigue,high_fever,headache,nausea,loss_of_appetite,pain_behind_the_eyes,back_pain,malaise,muscle_pain,red_spots_over_body",275
"vomiting,headache,weakness_of_one_body_side,altered_sensorium",718
"skin_rash,blackheads,scurring",7
"itching,vomiting,yellowish_skin,loss_of_appetite,abdominal_pain,yellowing_of_eyes",207
"joint_pain,yellowish_skin,dark_urine,nausea,loss_of_appetite,abdominal_pain,diarrhoea,mild_fever,yellowing_of_eyes,muscle_pain",464
I have a stuffy nose and a blocked nose. I also have stiffness and chest pain sometimes at night. I can't taste or smell anything.,35
"Signs and symptoms of TMJ disorders may include:  Pain or tenderness of your jaw Pain in one or both of the temporomandibular joints Aching pain in and around your ear Difficulty chewing or pain while chewing Aching facial pain Locking of the joint, making it difficult to open or close your mouth  TMJ disorders can also cause a clicking sound or grating sensation when you open your mouth or chew. But if there's no pain or limitation of movement associated with your jaw clicking, you probably don't need treatment for a TMJ disorder.",991
I've been feeling really sick and tired. I've lost weight and have a fever. My urine is dark and my skin is yellow. I also have stomach pain.,541
"If you or someone you're with may be having a stroke, pay particular attention to the time the symptoms began. Some treatment options are most effective when given soon after a stroke begins. Signs and symptoms of stroke include:  Trouble speaking and understanding what others are saying. You may experience confusion, slur words or have difficulty understanding speech. Paralysis or numbness of the face, arm or leg. You may develop sudden numbness, weakness or paralysis in the face, arm or leg. This often affects just one side of the body. Try to raise both your arms over your head at the same time. If one arm begins to fall, you may be having a stroke. Also, one side of your mouth may droop when you try to smile. Problems seeing in one or both eyes. You may suddenly have blurred or blackened vision in one or both eyes, or you may see double. Headache. A sudden, severe headache, which may be accompanied by vomiting, dizziness or altered consciousness, may indicate that you're having a stroke. Trouble walking. You may stumble or lose your balance. You may also have sudden dizziness or a loss of coordination. ",948
I have rashes that sometimes peel off my skin. This makes me more likely to get infections. My hands shake and I sometimes have tremors.,308
"I've been vomiting and having diarrhea for a few days, and I'm having a hard time staying hydrated. I also have a mild fever and stomach pain.",1026
"vomiting,fatigue,anxiety,sweating,headache,nausea,blurred_and_distorted_vision,excessive_hunger,drying_and_tingling_lips,slurred_speech,irritability,palpitations",504
"itching,fatigue,lethargy,yellowish_skin,dark_urine,loss_of_appetite,abdominal_pain,yellowing_of_eyes,malaise,receiving_blood_transfusion,receiving_unsterile_injections",465
"I've been feeling really run down lately. I've had a cough that just won't go away, and it's starting to hurt when I cough. My chest feels tight, and my heart is racing. I've also been coughing up some phlegm that's a weird color.",766
"Some men with delayed ejaculation need 30 minutes or more of sexual stimulation to have an orgasm and ejaculate. Other men might not be able to ejaculate at all (anejaculation). But, there's no specific time that indicates a diagnosis of delayed ejaculation. Instead, you are probably experiencing delayed ejaculation if the delay is causing distress or frustration, or if you have to stop sexual activity due to fatigue, physical irritation, loss of erection or a request from your partner. Often, men might have difficulty reaching orgasm during sexual intercourse or other sexual activities with a partner. Some men can ejaculate only when masturbating. Delayed ejaculation is divided into the following types based on symptoms:  Lifelong vs. acquired. With lifelong delayed ejaculation, the problem is present from the time of sexual maturity. Acquired delayed ejaculation occurs after a period of normal sexual functioning. Generalized vs. situational. Generalized delayed ejaculation isn't limited to certain sex partners or certain kinds of stimulation. Situational delayed ejaculation occurs only under certain circumstances.  These categories help in diagnosing an underlying cause and determining what might be the most effective treatment.",272
"Some people carry C. difficile bacteria in their intestines but never become sick. These individuals are carriers of the bacteria and may spread infections. Signs and symptoms usually develop within 5 to 10 days after starting a course of antibiotics. However, they may occur as soon as the first day or up to three months later. Mild to moderate infection The most common signs and symptoms of mild to moderate C. difficile infection are:  Watery diarrhea three or more times a day for more than one day Mild abdominal cramping and tenderness  Severe infection People who have a severe C. difficile infection tend to become dehydrated and may need to be hospitalized. C. difficile can cause the colon to become inflamed and sometimes form patches of raw tissue that can bleed or produce pus. Signs and symptoms of severe infection include:  Watery diarrhea as often as 10 to 15 times a day Abdominal cramping and pain, which may be severe Rapid heart rate Dehydration Fever Nausea Increased white blood cell count Kidney failure Loss of appetite Swollen abdomen Weight loss Blood or pus in the stool  C. difficile infection that is severe and sudden, an uncommon condition, may also cause intestinal inflammation leading to enlargement of the colon (also called toxic megacolon) and sepsis. Sepsis is a life-threatening condition that occurs when the body's response to an infection damages its own tissues. People who have these conditions are admitted to the intensive care unit.",163
"itching,skin_rash,stomach_pain,burning_micturition,spotting__urination",308
"constipation,pain_during_bowel_movements,pain_in_anal_region,bloody_stool,irritation_in_anus",297
"The most common sign of alcoholic hepatitis is yellowing of the skin and whites of the eyes (jaundice). Other signs and symptoms include:  Loss of appetite Nausea and vomiting Abdominal tenderness Fever, often low grade Fatigue and weakness  Malnutrition is common in people with alcoholic hepatitis. Drinking large amounts of alcohol suppresses the appetite, and heavy drinkers get most of their calories from alcohol. Additional signs and symptoms that occur with severe alcoholic hepatitis include:  Fluid accumulation in your abdomen (ascites) Confusion and behavior changes due to a buildup of toxins normally broken down and eliminated by the liver Kidney and liver failure ",33
"Signs and symptoms of menorrhagia may include:  Soaking through one or more sanitary pads or tampons every hour for several consecutive hours Needing to use double sanitary protection to control your menstrual flow Needing to wake up to change sanitary protection during the night Bleeding for longer than a week Passing blood clots larger than a quarter Restricting daily activities due to heavy menstrual flow Symptoms of anemia, such as tiredness, fatigue or shortness of breath ",616
"chills,high_fever,sweating,headache,nausea,diarrhoea,muscle_pain",596
"joint_pain,neck_pain,knee_pain,hip_joint_pain,swelling_joints,painful_walking",700
"itching,skin_rash,nodal_skin_eruptions,dischromic__patches",394
"chills,vomiting,fatigue,high_fever,headache,nausea,constipation,abdominal_pain,diarrhoea,toxic_look_(typhos),belly_pain",1026
"stomach_pain,acidity,ulcers_on_tongue,vomiting,cough,chest_pain",412
"chills,vomiting,fatigue,weight_loss,cough,high_fever,breathlessness,sweating,loss_of_appetite,mild_fever,yellowing_of_eyes,swelled_lymph_nodes,malaise,phlegm,chest_pain,blood_in_sputum",1019
"vomiting,sunken_eyes,dehydration",402
"chills,fatigue,cough,breathlessness,sweating,malaise,phlegm,chest_pain,fast_heart_rate,rusty_sputum",766
"skin_rash,pus_filled_pimples,blackheads,scurring",7
"itching,vomiting,weight_loss,high_fever,yellowish_skin,dark_urine,abdominal_pain",541
"burning_micturition,bladder_discomfort,foul_smell_of_urine,continuous_feel_of_urine",1035
"skin_rash,joint_pain,skin_peeling,small_dents_in_nails,inflammatory_nails",822
"joint_pain,vomiting,yellowish_skin,dark_urine,nausea,loss_of_appetite,abdominal_pain,diarrhoea,mild_fever,yellowing_of_eyes,muscle_pain",464
"itching,vomiting,yellowish_skin,nausea,loss_of_appetite,abdominal_pain,yellowing_of_eyes",207
"Symptoms of Meniere's disease include:  Regular dizzy spells. You have a spinning feeling that starts and stops suddenly. Vertigo may start without warning. It usually lasts 20 minutes to 12 hours, but not more than 24 hours. Serious vertigo can cause nausea. Hearing loss. Hearing loss in Meniere's disease may come and go, especially early on. Over time, hearing loss can be long-lasting and not get better. Ringing in the ear. Ringing in the ear is called tinnitus. Tinnitus is the term for when you have a ringing, buzzing, roaring, whistling or hissing sound in your ear. Feeling of fullness in the ear. People with Meniere's disease often feel pressure in the ear. This is called aural fullness.  After a vertigo attack, symptoms get better and might go away for a while. Over time, how many vertigo attacks you have may lessen.",612
"headache,chest_pain,dizziness,loss_of_balance,lack_of_concentration",501
"muscle_wasting,patches_in_throat,high_fever,extra_marital_contacts",27
"acidity,indigestion,headache,blurred_and_distorted_vision,excessive_hunger,stiff_neck,irritability,visual_disturbances",630
I've had a bad cold for a few days. I've been coughing up phlegm and my chest hurts. I can't smell anything and my muscles are sore.,234
"chills,fatigue,cough,high_fever,breathlessness,sweating,malaise,phlegm,chest_pain,fast_heart_rate,rusty_sputum",766
"joint_pain,knee_pain,hip_joint_pain,swelling_joints,painful_walking",700
My joints have been hurting a lot lately. I've been having a lot of trouble moving around and it's been really painful to walk.,72
"I've been having trouble concentrating and focusing, and I've been feeling dizzy. I've also had a headache and chest pain.",500
"vomiting,weakness_of_one_body_side,altered_sensorium",718
"vomiting,yellowish_skin,abdominal_pain,distention_of_abdomen,history_of_alcohol_consumption,fluid_overload",33
"I have been feeling stiff, my neck is stiff, my joints are swollen, and I have muscular weakness. I also feel uncomfortable when I walk.",72
"itching,fatigue,lethargy,yellowish_skin,dark_urine,loss_of_appetite,abdominal_pain,yellow_urine,yellowing_of_eyes,malaise,receiving_blood_transfusion,receiving_unsterile_injections",465
"vomiting,breathlessness,sweating,chest_pain",447
"vomiting,headache,nausea,spinning_movements,loss_of_balance,unsteadiness",0
"Signs and symptoms, which usually affect both eyes, may include:  A stinging, burning or scratchy sensation in your eyes Stringy mucus in or around your eyes Sensitivity to light Eye redness A sensation of having something in your eyes Difficulty wearing contact lenses Difficulty with nighttime driving Watery eyes, which is the body's response to the irritation of dry eyes Blurred vision or eye fatigue ",309
"chills,fatigue,cough,high_fever,breathlessness,sweating,malaise,chest_pain,fast_heart_rate,rusty_sputum",766
"joint_pain,vomiting,yellowish_skin,nausea,loss_of_appetite,abdominal_pain,diarrhoea,mild_fever,yellowing_of_eyes,muscle_pain",464
"joint_pain,neck_pain,knee_pain,hip_joint_pain,swelling_joints,painful_walking",700
"itching,vomiting,yellowish_skin,nausea,loss_of_appetite,abdominal_pain,yellowing_of_eyes",207
"vomiting,headache,weakness_of_one_body_side,altered_sensorium",718
"High blood pressure usually doesn't cause symptoms. However, signs and symptoms that might indicate a high blood pressure emergency (hypertensive crisis) include:  Headaches Seizures Vomiting Chest pains Fast, pounding or fluttering heartbeat (palpitations) Shortness of breath  If your child has any of these signs or symptoms, seek emergency medical care.",477
"muscle_weakness,stiff_neck,swelling_joints,movement_stiffness",72
"Nonallergic rhinitis symptoms often come and go year-round. Your symptoms might include:  Stuffy or runny nose. Sneezing. Mucus in the throat. Cough.  Nonallergic rhinitis most often doesn't cause an itchy nose, eyes or throat. That symptom is linked with allergies such as hay fever.",686
"Croup often begins as an ordinary cold. If there's enough swelling, irritation and coughing, a child can develop:  Loud barking cough that's made worse by crying and coughing, as well as anxiety and distress, setting up a cycle of worsening symptoms. Fever. Hoarse voice. Noisy or labored breathing.  Symptoms of croup are often worse at night and usually last for 3 to 5 days.",256
"vomiting,headache,weakness_of_one_body_side,altered_sensorium",718
"vomiting,fatigue,anxiety,sweating,headache,nausea,blurred_and_distorted_vision,excessive_hunger,drying_and_tingling_lips,slurred_speech,irritability,palpitations",504
"fatigue,cough,high_fever,breathlessness,sweating,malaise,phlegm,chest_pain,fast_heart_rate,rusty_sputum",766
"Many women who have fibroids don't have any symptoms. In those that do, symptoms can be influenced by the location, size and number of fibroids. In women who have symptoms, the most common signs and symptoms of uterine fibroids include:  Heavy menstrual bleeding Menstrual periods lasting more than a week Pelvic pressure or pain Frequent urination Difficulty emptying the bladder Constipation Backache or leg pains  Rarely, a fibroid can cause acute pain when it outgrows its blood supply, and begins to die. Fibroids are generally classified by their location. Intramural fibroids grow within the muscular uterine wall. Submucosal fibroids bulge into the uterine cavity. Subserosal fibroids project to the outside of the uterus.",1037
I have slow healing of wounds and cuts. I have this tingling sensation in my hand and numbness in both my hands and feet. I also have a lot of thirst and I'm always tired.,284
"fatigue,weight_gain,cold_hands_and_feets,mood_swings,lethargy,dizziness,puffy_face_and_eyes,enlarged_thyroid,brittle_nails,swollen_extremeties,depression,irritability,abnormal_menstruation",511
"fatigue,cough,high_fever,breathlessness,family_history,mucoid_sputum",149
"fatigue,yellowish_skin,loss_of_appetite,yellowing_of_eyes,family_history",466
"vomiting,headache,weakness_of_one_body_side,altered_sensorium",718
"joint_pain,vomiting,yellowish_skin,dark_urine,nausea,loss_of_appetite,abdominal_pain,diarrhoea,mild_fever,yellowing_of_eyes,muscle_pain",464
"continuous_sneezing,chills,fatigue,cough,headache,swelled_lymph_nodes,malaise,phlegm,throat_irritation,redness_of_eyes,sinus_pressure,runny_nose,congestion,chest_pain,loss_of_smell,muscle_pain",234
"skin_rash,high_fever,blister,red_sore_around_nose,yellow_crust_ooze",515
"vomiting,headache,nausea,loss_of_balance,unsteadiness",0
I have been having a lot of pain in my neck and back. I also have been coughing a lot and I feel weak in my arms and legs. I have also been dizzy and I have trouble balancing myself.,186
"In the early stages of diabetic nephropathy, you would most likely not notice any signs or symptoms. In later stages, signs and symptoms may include:  Worsening blood pressure control Protein in the urine Swelling of feet, ankles, hands or eyes Increased need to urinate Reduced need for insulin or diabetes medicine Confusion or difficulty concentrating Shortness of breath Loss of appetite Nausea and vomiting Persistent itching Fatigue ",290
"burning_micturition,bladder_discomfort,foul_smell_of_urine,continuous_feel_of_urine",1035
"chills,vomiting,fatigue,high_fever,headache,nausea,constipation,abdominal_pain,diarrhoea,toxic_look_(typhos),belly_pain",1026
"headache,nausea,spinning_movements,loss_of_balance,unsteadiness",0
"vomiting,fatigue,anxiety,sweating,headache,nausea,blurred_and_distorted_vision,excessive_hunger,drying_and_tingling_lips,slurred_speech,irritability,palpitations",504
"fatigue,weight_gain,cold_hands_and_feets,mood_swings,lethargy,dizziness,puffy_face_and_eyes,enlarged_thyroid,brittle_nails,swollen_extremeties,depression,irritability,abnormal_menstruation",511
"fatigue,mood_swings,weight_loss,sweating,diarrhoea,fast_heart_rate,excessive_hunger,muscle_weakness,irritability,abnormal_menstruation",502
"muscle_wasting,patches_in_throat,high_fever,extra_marital_contacts",27
I'm having trouble breathing and I'm really uncomfortable. I'm sweating a lot and my throat is full of mucus. My chest hurts and my heart is racing. I'm coughing up dark mucus.,766
"headache,chest_pain,dizziness,loss_of_balance,lack_of_concentration",501
"headache,weakness_of_one_body_side,altered_sensorium",718
"weight_loss,restlessness,lethargy,irregular_sugar_level,blurred_and_distorted_vision,obesity,excessive_hunger,increased_appetite,polyuria",285
"itching,vomiting,yellowish_skin,nausea,loss_of_appetite,abdominal_pain,yellowing_of_eyes",207
"itching,fatigue,lethargy,yellowish_skin,dark_urine,loss_of_appetite,abdominal_pain,yellow_urine,yellowing_of_eyes,malaise,receiving_blood_transfusion,receiving_unsterile_injections",465
"joint_pain,vomiting,yellowish_skin,dark_urine,nausea,loss_of_appetite,abdominal_pain,diarrhoea,mild_fever,yellowing_of_eyes,muscle_pain",464
"continuous_sneezing,chills,fatigue,cough,high_fever,headache,swelled_lymph_nodes,malaise,phlegm,throat_irritation,redness_of_eyes,sinus_pressure,runny_nose,congestion,chest_pain,loss_of_smell,muscle_pain",234
"itching,fatigue,lethargy,yellowish_skin,dark_urine,loss_of_appetite,abdominal_pain,yellow_urine,yellowing_of_eyes,malaise,receiving_blood_transfusion,receiving_unsterile_injections",465
"joint_pain,neck_pain,knee_pain,hip_joint_pain,swelling_joints,painful_walking",700
"neck_pain,knee_pain,hip_joint_pain,swelling_joints,painful_walking",700
"skin_rash,high_fever,blister,red_sore_around_nose,yellow_crust_ooze",515
"headache,weakness_of_one_body_side,altered_sensorium",718
I have been experiencing severe joint pain and headaches for the past few days. I also have a mild fever and chills. ,275
"mood_swings,weight_loss,restlessness,sweating,diarrhoea,fast_heart_rate,excessive_hunger,muscle_weakness,irritability,abnormal_menstruation",502
"chills,joint_pain,vomiting,fatigue,high_fever,headache,nausea,loss_of_appetite,pain_behind_the_eyes,back_pain,malaise,muscle_pain,red_spots_over_body",275
I have a rash on my arms and neck that bleeds and hurts when I scratch it. I also have small dents in my nails.,822
"I've been coughing a lot, and it's hard to breathe. I'm also really tired and exhausted. I've been coughing up a lot of thick, mucusy stuff. I have a fever, too.",149
"fatigue,nausea,loss_of_appetite,yellowing_of_eyes,family_history",466
I've been having trouble breathing and I've been coughing up a lot of mucus. I've also been feeling really tired.,149
"I've been having a lot of pain in my joints, especially my knees and hips. It's hard for me to move around and I'm always feeling stiff. I've also been having a lot of trouble sleeping because of the pain.",72
"acidity,indigestion,headache,blurred_and_distorted_vision,excessive_hunger,stiff_neck,depression,irritability,visual_disturbances",630
I have some red and inflamed skin on my legs. I think I can see some of the swollen blood vessels. I'm really worried about it.,1047
"itching,vomiting,yellowish_skin,nausea,loss_of_appetite,abdominal_pain",207
"I have a silvery dusting on my skin, especially on my lower back and scalp. It is made up of small scales that flake off easily when I scratch them.",822
"continuous_sneezing,chills,fatigue,cough,high_fever,headache,swelled_lymph_nodes,malaise,phlegm,throat_irritation,redness_of_eyes,sinus_pressure,runny_nose,congestion,chest_pain,loss_of_smell,muscle_pain",234
"shivering,chills,watering_from_eyes",35
"skin_rash,high_fever,blister,red_sore_around_nose,yellow_crust_ooze",515
"vomiting,yellowish_skin,abdominal_pain,swelling_of_stomach,distention_of_abdomen,history_of_alcohol_consumption,fluid_overload",33
"joint_pain,neck_pain,knee_pain,hip_joint_pain,swelling_joints,painful_walking",700
"vomiting,yellowish_skin,abdominal_pain,swelling_of_stomach,distention_of_abdomen,history_of_alcohol_consumption,fluid_overload",33
"I've been feeling dizzy and lightheaded, and I've been having trouble balancing. I've also had a headache that won't go away.",500
"fatigue,cramps,bruising,obesity,swollen_legs,prominent_veins_on_calf",1047
"continuous_sneezing,shivering,watering_from_eyes",35
"joint_pain,neck_pain,knee_pain,hip_joint_pain,swelling_joints,painful_walking",700
"fatigue,mood_swings,weight_loss,restlessness,sweating,diarrhoea,fast_heart_rate,excessive_hunger,muscle_weakness,irritability,abnormal_menstruation",502
"joint_pain,vomiting,fatigue,high_fever,yellowish_skin,dark_urine,nausea,loss_of_appetite,abdominal_pain,yellowing_of_eyes,acute_liver_failure,coma,stomach_bleeding",468
Each infectious disease has its own specific signs and symptoms. General signs and symptoms common to a number of infectious diseases include:  Fever Diarrhea Fatigue Muscle aches Coughing ,520
"I have a cough that won't go away, and I'm having trouble breathing. I'm also really weak and tired, and my fever is really high. I'm coughing up a lot of mucus, and I'm really angry and frustrated.",149
"vomiting,indigestion,loss_of_appetite,abdominal_pain,passage_of_gases,internal_itching",735
"vomiting,indigestion,loss_of_appetite,abdominal_pain,internal_itching",735
"vomiting,breathlessness,sweating,chest_pain",447
"chills,vomiting,fatigue,weight_loss,cough,high_fever,sweating,loss_of_appetite,mild_fever,yellowing_of_eyes,swelled_lymph_nodes,malaise,phlegm,chest_pain,blood_in_sputum",1019
"I've been experiencing neck pain, vertigo, and instability. I've also been having a chronic cough and limb weakness.",186
"fatigue,mood_swings,weight_loss,restlessness,diarrhoea,fast_heart_rate,excessive_hunger,muscle_weakness,irritability,abnormal_menstruation",502
"stomach_pain,acidity,ulcers_on_tongue,vomiting,cough",412
"itching,yellowish_skin,nausea,loss_of_appetite,abdominal_pain,yellowing_of_eyes",207
"muscle_weakness,stiff_neck,swelling_joints,movement_stiffness,painful_walking",72
"joint_pain,neck_pain,knee_pain,hip_joint_pain,swelling_joints,painful_walking",700
"itching,fatigue,lethargy,yellowish_skin,dark_urine,loss_of_appetite,abdominal_pain,yellow_urine,yellowing_of_eyes,malaise,receiving_blood_transfusion,receiving_unsterile_injections",465
"vomiting,sunken_eyes,dehydration,diarrhoea",402
"I have a burning sensation when I pee, and my lower abdomen hurts. I also have a low temperature and feel weak.",1035
"skin_rash,pus_filled_pimples,blackheads,scurring",7
"fatigue,bruising,obesity,swollen_legs,swollen_blood_vessels,prominent_veins_on_calf",1047
"chills,vomiting,fatigue,weight_loss,cough,high_fever,breathlessness,sweating,loss_of_appetite,mild_fever,yellowing_of_eyes,swelled_lymph_nodes,malaise,phlegm,chest_pain,blood_in_sputum",1019
"vomiting,breathlessness,sweating,chest_pain",447
"vomiting,headache,nausea,spinning_movements,loss_of_balance,unsteadiness",0
"itching,skin_rash,nodal_skin_eruptions",394
"constipation,pain_during_bowel_movements,pain_in_anal_region,bloody_stool,irritation_in_anus",297
"itching,skin_rash,stomach_pain,burning_micturition,spotting__urination",308
"joint_pain,vomiting,yellowish_skin,dark_urine,nausea,loss_of_appetite,abdominal_pain,yellowing_of_eyes",467
I have a hard time swallowing and I feel like food is getting stuck in my throat. I belch a lot and feel bloated. I have a bad taste in my mouth all the time.,736
"skin_rash,joint_pain,skin_peeling,silver_like_dusting,small_dents_in_nails,inflammatory_nails",822
"chills,vomiting,fatigue,weight_loss,cough,high_fever,sweating,loss_of_appetite,mild_fever,yellowing_of_eyes,swelled_lymph_nodes,malaise,phlegm,chest_pain,blood_in_sputum",1019
"I've been having a lot of pain in my joints, especially my knees and hips. I've also been feeling really stiff and it's hard to move around.",72
"back_pain,weakness_in_limbs,neck_pain,dizziness,loss_of_balance",186
"stomach_pain,ulcers_on_tongue,vomiting,cough,chest_pain",412
"itching,vomiting,yellowish_skin,nausea,loss_of_appetite,abdominal_pain,yellowing_of_eyes",207
"muscle_weakness,stiff_neck,swelling_joints,movement_stiffness,painful_walking",72
"I have dry, flaky patches of skin that are prone to infection. My joints are in a lot of pain. The skin on my knees and elbows is starting to flake.",822
"itching,fatigue,lethargy,yellowish_skin,dark_urine,loss_of_appetite,abdominal_pain,yellow_urine,yellowing_of_eyes,malaise,receiving_blood_transfusion,receiving_unsterile_injections",465
"Your medical team will likely be the first to recognize ambiguous genitalia soon after your baby is born. Occasionally, ambiguous genitalia may be suspected before birth (prenatally). Characteristics can vary in severity, depending on when during genital development the problem occurred and the cause of the disorder. Babies who are genetically female (with two X chromosomes) may have:  An enlarged clitoris, which may resemble a penis Closed labia, or labia that include folds and resemble a scrotum Lumps that feel like testes in the fused labia  Babies who are genetically male (with one X and one Y chromosome) may have:  A condition in which the narrow tube that carries urine and semen (urethra) doesn't fully extend to the tip of the penis (hypospadias) An abnormally small penis with the urethral opening closer to the scrotum The absence of one or both testicles in what appears to be the scrotum Undescended testicles and an empty scrotum that has the appearance of a labia with or without a micropenis ",38
"itching,fatigue,lethargy,yellowish_skin,dark_urine,loss_of_appetite,abdominal_pain,yellow_urine,yellowing_of_eyes,malaise,receiving_blood_transfusion,receiving_unsterile_injections",465
"itching,nodal_skin_eruptions,dischromic__patches",394
"cramps,bruising,obesity,swollen_legs,swollen_blood_vessels,prominent_veins_on_calf",1047
"fatigue,mood_swings,weight_loss,restlessness,sweating,diarrhoea,fast_heart_rate,excessive_hunger,muscle_weakness,irritability,abnormal_menstruation",502
"joint_pain,vomiting,yellowish_skin,dark_urine,nausea,loss_of_appetite,abdominal_pain,diarrhoea,mild_fever,yellowing_of_eyes,muscle_pain",464
"vomiting,headache,nausea,loss_of_balance,unsteadiness",0
"joint_pain,neck_pain,knee_pain,hip_joint_pain,swelling_joints,painful_walking",700
"weakness_in_limbs,neck_pain,dizziness,loss_of_balance",186
"sunken_eyes,dehydration,diarrhoea",402
"joint_pain,neck_pain,knee_pain,hip_joint_pain,swelling_joints,painful_walking",700
"Nasal polyps are associated with irritation and swelling (inflammation) of the lining of your nasal passages and sinuses that lasts more than 12 weeks (chronic sinusitis). However, it's possible to have chronic sinusitis without nasal polyps. Nasal polyps themselves are soft and lack sensation, so if they're small, you may not be aware you have them. Multiple growths or a large polyp may block your nasal passages and sinuses. Common signs and symptoms of chronic sinusitis with nasal polyps include:  A runny nose Persistent stuffiness Postnasal drip Decreased or absent sense of smell Loss of sense of taste Facial pain or headache Pain in your upper teeth A sense of pressure over your forehead and face Snoring Frequent nosebleeds ",670
"joint_pain,vomiting,fatigue,high_fever,yellowish_skin,dark_urine,nausea,loss_of_appetite,abdominal_pain,yellowing_of_eyes,acute_liver_failure,coma,stomach_bleeding",468
"vomiting,indigestion,loss_of_appetite,abdominal_pain,internal_itching",735
"itching,skin_rash,fatigue,lethargy,high_fever,headache,loss_of_appetite,mild_fever,swelled_lymph_nodes,malaise,red_spots_over_body",193
"fatigue,restlessness,lethargy,irregular_sugar_level,blurred_and_distorted_vision,obesity,excessive_hunger,increased_appetite,polyuria",285
I'm feeling really hot. I can't breathe well. I'm sweating a lot. I'm shaking. I'm really tired. My heart is beating fast. I have some brown stuff coming up when I cough.,766
"The signs and symptoms of hydrocephalus vary somewhat by age of onset.  Infants Common signs and symptoms of hydrocephalus in infants include: Changes in the head  An unusually large head A rapid increase in the size of the head A bulging or tense soft spot (fontanel) on the top of the head  Physical signs and symptoms  Nausea and vomiting Sleepiness or sluggishness (lethargy) Irritability Poor eating Seizures Eyes fixed downward (sunsetting of the eyes) Problems with muscle tone and strength  Toddlers and older children Among toddlers and older children, signs and symptoms might include: Physical signs and symptoms  Headache Blurred or double vision Abnormal eye movements Abnormal enlargement of a toddler's head Sleepiness or sluggishness Nausea or vomiting Unstable balance Poor coordination Poor appetite Loss of bladder control or frequent urination  Behavioral and cognitive changes  Irritability Change in personality Decline in school performance Delays or problems with previously acquired skills, such as walking or talking  Young and middle-aged adults Common signs and symptoms in this age group include:  Headache Sluggishness Loss of coordination or balance Loss of bladder control or a frequent urge to urinate Vision problems Decline in memory, concentration and other thinking skills that may affect job performance  Older adults Among adults 60 years of age and older, the more common signs and symptoms of hydrocephalus are:  Loss of bladder control or a frequent urge to urinate Memory loss Progressive loss of other thinking or reasoning skills Difficulty walking, often described as a shuffling gait or the feeling of the feet being stuck Poor coordination or balance ",493
"chills,vomiting,high_fever,sweating,nausea,diarrhoea,muscle_pain",596
"vomiting,fatigue,weight_loss,high_fever,yellowish_skin,dark_urine,abdominal_pain",541
"I have a stiff neck and eye issues, and I've been hungry all the time.",630
"itching,skin_rash,nodal_skin_eruptions",394
"chills,vomiting,fatigue,weight_loss,cough,high_fever,breathlessness,sweating,loss_of_appetite,mild_fever,yellowing_of_eyes,swelled_lymph_nodes,malaise,phlegm,chest_pain,blood_in_sputum",1019
"itching,skin_rash,lethargy,high_fever,headache,loss_of_appetite,mild_fever,swelled_lymph_nodes,malaise,red_spots_over_body",193
"vomiting,breathlessness,sweating,chest_pain",447
"vomiting,yellowish_skin,abdominal_pain,swelling_of_stomach,distention_of_abdomen,history_of_alcohol_consumption,fluid_overload",33
"stomach_pain,acidity,ulcers_on_tongue,vomiting,cough,chest_pain",412
"vomiting,sunken_eyes,dehydration,diarrhoea",402
"Some people who have myocardial ischemia don't have any signs or symptoms (silent ischemia). When they do occur, the most common is chest pressure or pain, typically on the left side of the body (angina pectoris). Other signs and symptoms — which might be experienced more commonly by women, older people and people with diabetes — include:  Neck or jaw pain Shoulder or arm pain A fast heartbeat Shortness of breath when you are physically active Nausea and vomiting Sweating Fatigue ",662
"continuous_sneezing,shivering,chills,watering_from_eyes",35
I have been experiencing neck pain and feeling lightheaded and unstable on my feet.,186
"fatigue,weight_loss,restlessness,lethargy,blurred_and_distorted_vision,obesity,excessive_hunger,increased_appetite,polyuria",285
